# U,V,K,OSMID,NAME
712747957,1502209183,0,699155731,nan
712747957,1070157474,0,[99621269, 1146076110, 1146076111],Avenida La Marina
712747961,8628722816,0,1146076099,Avenida Costanera
712747961,712751082,0,1146076102,Avenida Costanera
712747967,712751857,0,144921055,Ojo de Aguila
712747967,712747968,0,212530169,Avenida Costanera
712747967,712751851,0,212530169,Avenida Costanera
712747968,8723649631,0,57229978,Quebrada de Los Loros
712747968,712747967,0,212530169,Avenida Costanera
712747968,3302355814,0,240980637,Avenida Costanera
712751028,712751035,0,[1088903960, 1146076098, 57226654],Del Horno
712751028,1577619542,0,57226654,Del Horno
712751028,712751060,0,57226699,Del Puente Chico
712751035,3302379891,0,578254620,Del Horno
712751035,2096811350,0,[578254621, 699155725],Ruta 5 Norte
712751035,712751028,0,[1088903960, 1146076098, 57226654],Del Horno
712751038,712751039,0,471549353,Las Gaviotas
712751038,3754561086,0,797689797,Avenida El Panul
712751038,712751052,0,57226690,La Ermita
712751039,712751046,0,57226669,De La Escuela
712751039,3302338557,0,471549353,Las Gaviotas
712751039,712751038,0,471549353,Las Gaviotas
712751043,712751084,0,57230093,Niza
712751043,3302337446,0,1146556495,Los Pastores
712751043,3302338497,0,1146556495,Los Pastores
712751043,712751059,0,144183785,De La Escuela
712751046,3302338479,0,57226692,Del Correo
712751046,1577619542,0,57226669,De La Escuela
712751046,712751055,0,57226692,Del Correo
712751051,712751052,0,57226687,Fundición
712751051,1070157903,0,57226687,Fundición
712751051,712751054,0,57266633,Del Chonchón
712751051,5747560920,0,57266633,Del Chonchón
712751052,712751051,0,57226687,Fundición
712751052,712751038,0,57226690,La Ermita
712751052,712751053,0,57883318,La Ermita
712751053,712751078,0,57883317,Cruzada Vieja
712751053,712751052,0,57883318,La Ermita
712751054,712751051,0,57266633,Del Chonchón
712751054,1070158838,0,1146553560,Del Correo
712751054,712751055,0,57226692,Del Correo
712751054,712751076,0,1146076097,Del Chonchón
712751055,712751060,0,797689797,Avenida El Panul
712751055,712751046,0,57226692,Del Correo
712751055,712751054,0,57226692,Del Correo
712751055,3754561086,0,797689797,Avenida El Panul
712751057,1577619547,0,57226696,De La Escuela
712751057,712751080,0,57226775,Del Medio
712751057,712751096,0,1146076122,De La Escuela
712751058,712751059,0,57226696,De La Escuela
712751058,1577619547,0,57226696,De La Escuela
712751058,712751082,0,792563741,Del Almacén
712751059,712751058,0,57226696,De La Escuela
712751059,3302338497,0,323441753,De La Escuela
712751059,3302338502,0,57226669,De La Escuela
712751060,712751055,0,797689797,Avenida El Panul
712751060,712751028,0,57226699,Del Puente Chico
712751060,712751076,0,1146076096,Avenida El Panul
712751062,712751078,0,57226711,Diagonal Vieja
712751062,712751073,0,57226775,Del Medio
712751062,712751064,0,57226711,Diagonal Vieja
712751064,712751065,0,57226711,Diagonal Vieja
712751064,712751062,0,57226711,Diagonal Vieja
712751064,712751096,0,57226769,Angosta
712751065,712751064,0,57226711,Diagonal Vieja
712751065,712751067,0,1146076094,Antigua
712751065,712751066,0,57226711,Diagonal Vieja
712751065,5747561051,0,57226764,Antigua
712751066,1577626761,0,57234985,Del Fósil
712751066,712751070,0,57234985,Del Fósil
712751066,712751065,0,57226711,Diagonal Vieja
712751067,712751065,0,1146076094,Antigua
712751067,712751092,0,1146076094,Antigua
712751067,712751070,0,57226723,De La Escuela
712751070,712751066,0,57234985,Del Fósil
712751070,712774522,0,57234985,Del Fósil
712751070,712751797,0,57226723,De La Escuela
712751070,712751067,0,57226723,De La Escuela
712751072,712751073,0,57266633,Del Chonchón
712751072,712751064,0,1146076095,Angosta
712751072,1070158717,0,57266633,Del Chonchón
712751073,5747560920,0,57266633,Del Chonchón
712751073,712751072,0,57266633,Del Chonchón
712751076,712751060,0,1146076096,Avenida El Panul
712751076,712751054,0,1146076097,Del Chonchón
712751076,1502210932,0,1146553558,Avenida El Panul
712751078,712751062,0,57226711,Diagonal Vieja
712751078,2597284823,0,57883317,Cruzada Vieja
712751078,712751053,0,57883317,Cruzada Vieja
712751080,712751062,0,57226775,Del Medio
712751080,712751081,0,57230095,Del Almacén
712751081,3302338562,0,57226748,La Ermita
712751081,712751058,0,57883316,Del Almacén
712751082,712751083,0,1146076102,Avenida Costanera
712751083,712751085,0,57220700,Avenida Costanera
712751083,3302338497,0,57230094,Los Pastores
712751084,712751043,0,57230093,Niza
712751084,712751085,0,92188856,Del Rancho
712751084,1070158888,0,92188856,Del Rancho
712751085,10665526287,0,57220700,Avenida Costanera
712751085,712751084,0,92188856,Del Rancho
712751090,712751091,0,1146076099,Avenida Costanera
712751090,8628722816,0,1146076099,Avenida Costanera
712751091,712751092,0,798019927,Antigua
712751091,712751090,0,1146076099,Avenida Costanera
712751091,712774522,0,[212530169, 1146076099],Avenida Costanera
712751092,712751091,0,798019927,Antigua
712751092,712751067,0,1146076094,Antigua
712751092,712751096,0,1146076122,De La Escuela
712751096,712751057,0,1146076122,De La Escuela
712751096,712751090,0,57226769,Angosta
712751096,712751092,0,1146076122,De La Escuela
712751797,712751805,0,57226723,De La Escuela
712751797,712751070,0,57226723,De La Escuela
712751797,712751850,0,57229976,Calle del Pirata
712751805,712751797,0,57226723,De La Escuela
712751805,3754470000,0,[1146076128, 57226723],['De La Escuela', 'María Fano']
712751805,712751850,0,57229977,Calle Los Corsarios
712751850,712751797,0,57229976,Calle del Pirata
712751850,712751851,0,57229977,Calle Los Corsarios
712751850,712751805,0,57229977,Calle Los Corsarios
712751851,712751850,0,57229977,Calle Los Corsarios
712751851,712747967,0,212530169,Avenida Costanera
712751851,712774522,0,212530169,Avenida Costanera
712751857,712747967,0,144921055,Ojo de Aguila
712751934,712751938,0,57230097,El Bucanero
712751934,712747961,0,[57263738, 1146076100],Avenida La Marina
712751934,10665526260,0,1146076103,Avenida La Marina
712751938,712751934,0,57230097,El Bucanero
712773837,10665526260,0,1146076104,Avenida La Marina
712773837,1070157474,0,1146076110,Avenida La Marina
712774522,712751070,0,57234985,Del Fósil
712774522,712751851,0,212530169,Avenida Costanera
712774522,712751091,0,[212530169, 1146076099],Avenida Costanera
713901192,1151919391,0,928453261,Avenida Peñuelas Sur
713901192,713901195,0,[928453260, 54179388],Avenida Peñuelas Sur
713901192,2595440095,0,[1087246220, 1088851162, 1088851164, 1088851166, 1088851167],Ruta 5 Norte
713901195,713901192,0,[928453260, 54179388],Avenida Peñuelas Sur
